name,price,Is it a 3D Printer?,dimensions (mm),type,speed (mm/s),rating,review,link
ELEGOO Mars 5 Ultra 9K Resin 3D Printer,537.99, Yes, 153.36 x 77.76 x 165, SLA,150,4.4,857 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToxODYyOTYyNzcyNzYxNDc2OjE3MjczODEyOTI6c3BfYXRmX25leHQ6MzAwMzU0MjQ3MzMxMTAyOjowOjo&url=%2FELEGOO-Automatic-Intelligent-Detection-WiFi-Transfer%2Fdp%2FB0D3TMS8DF%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8ZYA69UWrBIMX9N9TEpESIk.JBLEaFUBGXkn20ODJN3PLx7nV90u0Tj3_SoKXPPTRa4%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381292%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Anycubic Kobra 2 Max,759.99, Yes, 500 x 420 x 420, FDM,500,3.3,63 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyNzY0MDM4NTIzMDUwNjY3OjE3MjczODEzMjA6c3BfYXRmX25leHQ6MzAwMDk1MzQ5NzE3MTAyOjowOjo&url=%2FAnycubic-Printing-High-Speed-Vibration-Compensation%2Fdp%2FB0CD7S18PB%2Fref%3Dsr_1_51_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8Y-6wkiyla-MuuuzOj7ofq1ui32HcYYdL-9Qha9eFUGv4eu5jcvJIAZ3icX9P5avtMmzgR8RxpxRMdAUQZE2j5iI76f06Kg7wabnKwz1jUgMBk_6pCA1bYi0ifWlUjHMwEQY7opCDSvnqBylnKmQUN1dA-hh7QpvusZwNeGUBzz-hIwNW5AuzGxGv1EcHmy4W3J6GzGeHXkVDaWnG9n-rHw.jr8xTS_LAUuVRKZ1D0GvUSQaujCUBjLaeUItXUTogdM%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381320%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
FLASHFORGE Adventurer 5M Pro,849, Yes, 220 x 220 x 220, FDM,600,4.1,85 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyNzY0MDM4NTIzMDUwNjY3OjE3MjczODEzMjA6c3BfYXRmX25leHQ6MzAwMzEzMjg0OTMxODAyOjowOjo&url=%2FFLASHFORGE-Adventurer-High-Speed-Multi-Functional-220x220x200mm%2Fdp%2FB0CJRF7D85%2Fref%3Dsr_1_52_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8Y-6wkiyla-MuuuzOj7ofq1ui32HcYYdL-9Qha9eFUGv4eu5jcvJIAZ3icX9P5avtMmzgR8RxpxRMdAUQZE2j5iI76f06Kg7wabnKwz1jUgMBk_6pCA1bYi0ifWlUjHMwEQY7opCDSvnqBylnKmQUN1dA-hh7QpvusZwNeGUBzz-hIwNW5AuzGxGv1EcHmy4W3J6GzGeHXkVDaWnG9n-rHw.jr8xTS_LAUuVRKZ1D0GvUSQaujCUBjLaeUItXUTogdM%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381320%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
3D Printer Filament Bundle,45.99, No, N/A, N/A, N/A,4.2,"2,899 ratings",https://www.amazon.ca/Filament-Multicolor-Blue-Green-Dimensional-Accuracy/dp/B09HTXM88F/ref=sr_1_53?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8Y-6wkiyla-MuuuzOj7ofq1ui32HcYYdL-9Qha9eFUGv4eu5jcvJIAZ3icX9P5avtMmzgR8RxpxRMdAUQZE2j5iI76f06Kg7wabnKwz1jUgMBk_6pCA1bYi0ifWlUjHMwEQY7opCDSvnqBylnKmQUN1dA-hh7QpvusZwNeGUBzz-hIwNW5AuzGxGv1EcHmy4W3J6GzGeHXkVDaWnG9n-rHw.jr8xTS_LAUuVRKZ1D0GvUSQaujCUBjLaeUItXUTogdM&dib_tag=se&keywords=3D+Printers&qid=1727381320&sprefix=3d+printers%2Caps%2C146&sr=8-53
Official Creality Ender 3 V3 KE 3D Printer,459.83, Yes, 220 x 220 x 250, FDM,500,4,7 ratings,https://www.amazon.ca/Official-Creality-Printer-Printing-Smarter/dp/B0CM67ZDYB/ref=sr_1_54?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8Y-6wkiyla-MuuuzOj7ofq1ui32HcYYdL-9Qha9eFUGv4eu5jcvJIAZ3icX9P5avtMmzgR8RxpxRMdAUQZE2j5iI76f06Kg7wabnKwz1jUgMBk_6pCA1bYi0ifWlUjHMwEQY7opCDSvnqBylnKmQUN1dA-hh7QpvusZwNeGUBzz-hIwNW5AuzGxGv1EcHmy4W3J6GzGeHXkVDaWnG9n-rHw.jr8xTS_LAUuVRKZ1D0GvUSQaujCUBjLaeUItXUTogdM&dib_tag=se&keywords=3D+Printers&qid=1727381320&sprefix=3d+printers%2Caps%2C146&sr=8-54
Flashforge Large-Format Guider II 3D Printer,599, Yes, 280 x 250 x 300, FDM, N/A,3.5,5 ratings,https://www.amazon.ca/Flashforge-Large-Format-Wireless-Printing-Wood-Filled/dp/B0B6VXGRDL/ref=sr_1_55?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.-f5RUL70YY876MvFIZAL-59wmPErKPWx22NEfTuugNt8CcfqOl4ObSs6pZ90Q6MZ8dHSdH0BFpReDtclds6q8Y-6wkiyla-MuuuzOj7ofq1ui32HcYYdL-9Qha9eFUGv4eu5jcvJIAZ3icX9P5avtMmzgR8RxpxRMdAUQZE2j5iI76f06Kg7wabnKwz1jUgMBk_6pCA1bYi0ifWlUjHMwEQY7opCDSvnqBylnKmQUN1dA-hh7QpvusZwNeGUBzz-hIwNW5AuzGxGv1EcHmy4W3J6GzGeHXkVDaWnG9n-rHw.jr8xTS_LAUuVRKZ1D0GvUSQaujCUBjLaeUItXUTogdM&dib_tag=se&keywords=3D+Printers&qid=1727381320&sprefix=3d+printers%2Caps%2C146&sr=8-55
ELEGOO Mars 5 Ultra 9K Resin 3D Printer,537.99, Yes, 153.36 x 77.76 x 165, DLP,150,4.4,857 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo1NDI2NTAxMzY1Nzg0NjQ1OjE3MjczODEzMjA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM1NDI0NzMzMTEwMjo6MDo6&url=%2FELEGOO-Automatic-Intelligent-Detection-WiFi-Transfer%2Fdp%2FB0D3TMS8DF%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.2sKi1WoI-i9f7mirWrq68XEeEAdfToRdk3Ji19XtALWpiXqjTrF2nKcLa3Jpe1jK6u1tf3vYBxBZzEeyMfTz3Q.lNolJdDdU2Spl_oCxwEIwLSN1EXBnRL86GI8nYnx4j8%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0D3TMS8DF%26pd_rd_r%3D6ed9ee98-57d3-4dbe-b203-76b9d1f0e7f2%26pd_rd_w%3DfN69u%26pd_rd_wg%3DqeFCT%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DS8T0RK8QCQS1JJ2J1MPK%26qid%3D1727381320%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-49-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
ANYCUBIC Kobra 2 Neo,359.99, Yes, 220 x 220 x 250, FDM,250,4,242 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo1NDI2NTAxMzY1Nzg0NjQ1OjE3MjczODEzMjA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1OTIxODQxNzEwMjo6MTo6&url=%2FANYCUBIC-Leveling-Self-Developed-Removable-8-7x8-7x9-84%2Fdp%2FB09QCNQ2BY%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.2sKi1WoI-i9f7mirWrq68XEeEAdfToRdk3Ji19XtALWpiXqjTrF2nKcLa3Jpe1jK6u1tf3vYBxBZzEeyMfTz3Q.lNolJdDdU2Spl_oCxwEIwLSN1EXBnRL86GI8nYnx4j8%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB09QCNQ2BY%26pd_rd_r%3D6ed9ee98-57d3-4dbe-b203-76b9d1f0e7f2%26pd_rd_w%3DfN69u%26pd_rd_wg%3DqeFCT%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DS8T0RK8QCQS1JJ2J1MPK%26qid%3D1727381320%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-50-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
ANYCUBIC 3D Printer Kobra 2 Plus,699.99, Yes, 320 x 320 x 400, FDM,500,4.1,197 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo1NDI2NTAxMzY1Nzg0NjQ1OjE3MjczODEzMjA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA3MzI3NjM1NDkwMjo6Mjo6&url=%2FANYCUBIC-High-Speed-Printing-Structure-Intelligent%2Fdp%2FB0CD7RTHYQ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.2sKi1WoI-i9f7mirWrq68XEeEAdfToRdk3Ji19XtALWpiXqjTrF2nKcLa3Jpe1jK6u1tf3vYBxBZzEeyMfTz3Q.lNolJdDdU2Spl_oCxwEIwLSN1EXBnRL86GI8nYnx4j8%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0CD7RTHYQ%26pd_rd_r%3D6ed9ee98-57d3-4dbe-b203-76b9d1f0e7f2%26pd_rd_w%3DfN69u%26pd_rd_wg%3DqeFCT%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DS8T0RK8QCQS1JJ2J1MPK%26qid%3D1727381320%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-51-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
ELEGOO Mars 4,408.99, Yes, 132.8 x 74.7 x 150, DLP, N/A,4.4,857 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4MjAwNDUxMzA2NjYzNjk4OjE3MjczODE0MjM6c3BfYXRmX25leHQ6MzAwMDU1NDY0NDYxMTAyOjowOjo&url=%2FELEGOO-Ultra-Quiet-Ultra-Low-132-8x74-7x150mm-5-22x2-94x5-9in%2Fdp%2FB0BKFKNRC6%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB-L_8FIZ8W7G52DNVhST1gw.wNoxoQuvfpRVamAwMjfNbRYZoTRUxwgh3zNGHwcwmPY%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381423%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Anycubic Kobra 2 Max,759.99, Yes, 420 x 420 x 500, FDM,500,4,242 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4MjAwNDUxMzA2NjYzNjk4OjE3MjczODE0MjM6c3BfYXRmX25leHQ6MzAwMTQ0MzI3ODkxODAyOjowOjo&url=%2FAnycubic-Leveling-Dual-Gear-Extruder-Intelligent%2Fdp%2FB0DG8DQFLQ%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB-L_8FIZ8W7G52DNVhST1gw.wNoxoQuvfpRVamAwMjfNbRYZoTRUxwgh3zNGHwcwmPY%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381423%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
ANYCUBIC Photon Mono M7 Pro,"1,014.99", Yes, 223.5 x 125 x 230, SLA,170,4.6,56 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4NzEzMDAwODU3MTU3NDE4OjE3MjczODE0NTE6c3BfYXRmX25leHQ6MzAwMzY5MjQ0MjMxODAyOjowOjo&url=%2FANYCUBIC-Photon-Mono-Pro-8-78x4-95x9-05%2Fdp%2FB0CY5MF5BV%2Fref%3Dsr_1_99_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB2rR8y9er3EdWW3WyZF9zdUUQ3oTfcsCK99Gx5t61CCbf4yRdvz03_6SzNd4Dv1_Cqg25W6NoGsr_Geaa_I7rlMSWE_N970lwnP0B7C39gDh4vx_GQE52NOmi6K-KH2ZkqP5rgaoZFZELQB6BOE0Qr94v0A9vmvtViyCvkfa5N3CDms-VuZml5q2YxGly3EOIRanVJtjNjMy2jCW65S6lWc.i_qiVa62yZXEOPoGVGt9FgS06eaKz7XvwJYJGxKVaZg%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381451%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
ANYCUBIC 3D Printer Kobra 3 Combo,659, Yes, 250 x 250 x 260, FDM,600,4.1,197 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4NzEzMDAwODU3MTU3NDE4OjE3MjczODE0NTE6c3BfYXRmX25leHQ6MzAwNDA4MDI2ODY1MjAyOjowOjo&url=%2FANYCUBIC-Multicolor-Printing-Filament-Auto-Leveling%2Fdp%2FB0CZKMJD1M%2Fref%3Dsr_1_100_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB2rR8y9er3EdWW3WyZF9zdUUQ3oTfcsCK99Gx5t61CCbf4yRdvz03_6SzNd4Dv1_Cqg25W6NoGsr_Geaa_I7rlMSWE_N970lwnP0B7C39gDh4vx_GQE52NOmi6K-KH2ZkqP5rgaoZFZELQB6BOE0Qr94v0A9vmvtViyCvkfa5N3CDms-VuZml5q2YxGly3EOIRanVJtjNjMy2jCW65S6lWc.i_qiVa62yZXEOPoGVGt9FgS06eaKz7XvwJYJGxKVaZg%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727381451%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
GKtwo Resin 3D Printer,34.58, Yes, 228.6 x 127 x 254, SLA, N/A,4.1,36 ratings,https://www.amazon.ca/Uniformation-Printer-Removal-Screwless-Clamping/dp/B0BCPG3KPS/ref=sr_1_101?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB2rR8y9er3EdWW3WyZF9zdUUQ3oTfcsCK99Gx5t61CCbf4yRdvz03_6SzNd4Dv1_Cqg25W6NoGsr_Geaa_I7rlMSWE_N970lwnP0B7C39gDh4vx_GQE52NOmi6K-KH2ZkqP5rgaoZFZELQB6BOE0Qr94v0A9vmvtViyCvkfa5N3CDms-VuZml5q2YxGly3EOIRanVJtjNjMy2jCW65S6lWc.i_qiVa62yZXEOPoGVGt9FgS06eaKz7XvwJYJGxKVaZg&dib_tag=se&keywords=3D+Printers&qid=1727381451&sprefix=3d+printers%2Caps%2C146&sr=8-101
BED WELD - ORIGINAL,33.99, No, N/A, N/A, N/A,4.3,"2,348 ratings",https://www.amazon.ca/Printer-Adhesive-Original-Reduces-Filament/dp/B079984GV5/ref=sr_1_102?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB2rR8y9er3EdWW3WyZF9zdUUQ3oTfcsCK99Gx5t61CCbf4yRdvz03_6SzNd4Dv1_Cqg25W6NoGsr_Geaa_I7rlMSWE_N970lwnP0B7C39gDh4vx_GQE52NOmi6K-KH2ZkqP5rgaoZFZELQB6BOE0Qr94v0A9vmvtViyCvkfa5N3CDms-VuZml5q2YxGly3EOIRanVJtjNjMy2jCW65S6lWc.i_qiVa62yZXEOPoGVGt9FgS06eaKz7XvwJYJGxKVaZg&dib_tag=se&keywords=3D+Printers&qid=1727381451&sprefix=3d+printers%2Caps%2C146&sr=8-102
ELEGOO Rapid PETG Filament 1.75mm Black White Red Blue,75.99, No, N/A, N/A,600,4.3,426 ratings,https://www.amazon.ca/ELEGOO-Filament-Printing-Dimensional-Cardboard/dp/B0CMC75YVP/ref=sr_1_103?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.SCJxJ1kuzpmTqhjTgxHfEG7jTRLjxo1ug_LDKdLC7MMf7AuaZl_3T09fy4j2ONcVQ_M5RvTsuER7y5j0gR4mB2rR8y9er3EdWW3WyZF9zdUUQ3oTfcsCK99Gx5t61CCbf4yRdvz03_6SzNd4Dv1_Cqg25W6NoGsr_Geaa_I7rlMSWE_N970lwnP0B7C39gDh4vx_GQE52NOmi6K-KH2ZkqP5rgaoZFZELQB6BOE0Qr94v0A9vmvtViyCvkfa5N3CDms-VuZml5q2YxGly3EOIRanVJtjNjMy2jCW65S6lWc.i_qiVa62yZXEOPoGVGt9FgS06eaKz7XvwJYJGxKVaZg&dib_tag=se&keywords=3D+Printers&qid=1727381451&sprefix=3d+printers%2Caps%2C146&sr=8-103
ELEGOO Mars 4,408.99, Yes, 132.8 x 74.7 x 150, DLP, N/A,4.4,857 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0ODkyODU3NDUyMDE1OTk4OjE3MjczODE0NTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1NTQ2NDQ2MTEwMjo6MDo6&url=%2FELEGOO-Ultra-Quiet-Ultra-Low-132-8x74-7x150mm-5-22x2-94x5-9in%2Fdp%2FB0BKFKNRC6%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.ATqbUcw_CQwXPxoREk2rRses-f7npqg8YWFWKpjPkwr7OTpMtXwMuHP1JcPgn0SyjMWAhphRp-jarlYpmIOr_Q.1CAcDOzpCxTNzsOBo_CKS1cysHI4H39j8K7J0gwWLmM%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0BKFKNRC6%26pd_rd_r%3D04e7ba4f-3d54-4450-9724-acd843a3ee2a%26pd_rd_w%3DyuzPq%26pd_rd_wg%3Dp9GFn%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DTQJN126WCXZN6T9DRMZQ%26qid%3D1727381451%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-97-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
ANYCUBIC 3D Printer Kobra 3 Combo,659, Yes, 250 x 250 x 260, FDM,600,4.1,197 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0ODkyODU3NDUyMDE1OTk4OjE3MjczODE0NTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQwODAyNjg2NTIwMjo6MTo6&url=%2FANYCUBIC-Multicolor-Printing-Filament-Auto-Leveling%2Fdp%2FB0CZKMJD1M%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.ATqbUcw_CQwXPxoREk2rRses-f7npqg8YWFWKpjPkwr7OTpMtXwMuHP1JcPgn0SyjMWAhphRp-jarlYpmIOr_Q.1CAcDOzpCxTNzsOBo_CKS1cysHI4H39j8K7J0gwWLmM%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0CZKMJD1M%26pd_rd_r%3D04e7ba4f-3d54-4450-9724-acd843a3ee2a%26pd_rd_w%3DyuzPq%26pd_rd_wg%3Dp9GFn%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DTQJN126WCXZN6T9DRMZQ%26qid%3D1727381451%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-98-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Anycubic Kobra 2 Plus,629, Yes, 320 x 320 x 400, FDM,500,4,242 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0ODkyODU3NDUyMDE1OTk4OjE3MjczODE0NTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwMzg3OTM1ODcwMjo6Mjo6&url=%2FAnycubic-Printing-High-Speed-Leveling-Dual-Gear%2Fdp%2FB0DG5JT3WB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%253Aamzn1.sym.ead4008e-f313-4943-84c5-6b44d3477e63%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.ATqbUcw_CQwXPxoREk2rRses-f7npqg8YWFWKpjPkwr7OTpMtXwMuHP1JcPgn0SyjMWAhphRp-jarlYpmIOr_Q.1CAcDOzpCxTNzsOBo_CKS1cysHI4H39j8K7J0gwWLmM%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0DG5JT3WB%26pd_rd_r%3D04e7ba4f-3d54-4450-9724-acd843a3ee2a%26pd_rd_w%3DyuzPq%26pd_rd_wg%3Dp9GFn%26pf_rd_p%3Dead4008e-f313-4943-84c5-6b44d3477e63%26pf_rd_r%3DTQJN126WCXZN6T9DRMZQ%26qid%3D1727381451%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-99-1cd13166-e9fe-46a7-89b4-109ca0ed00af-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA1A5FQE7R5RISB
